Year,coffee_hectare,coffee_improved_hectare,coffee_improved_cost,coffee_hectare_fertilizer,coffee_fertilizer_cost,coffee_chemical_hectare,coffee_chemical_cost,coffee_machinery_hectare,coffee_machinery_cost,coffee_harvested,coffee_sold,coffee_sold_price,coffee_harvest_loss,filter,filter_quartile
2014,0.404686,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,165.0,165,150000,8.0,150339.0,3
2014,0.809372,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,300.0,300,250000,10.0,250612.0,3
2014,0.607029,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,180.0,180,330000,37.0,330398.5,3
2014,0.809372,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,300.0,240,320000,17.0,320559.0,3
2014,0.809372,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,270.0,250,350000,22.0,350544.0,3
2014,1.214058,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,638.0,638,180000,30.0,181309.0,3
2014,0.809372,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,170.0,165,150000,15.0,150352.0,3
2014,0.202343,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,130.0,130,160000,20.0,160280.5,3
2014,0.202343,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,150.0,150,202000,40.0,202340.5,3
2014,0.809372,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,415.0,415,270000,27.0,270859.0,3
2014,1.618744,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,370.0,370,465000,25.0,465769.0,3
2014,0.1011715,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,120.0,120,60000,30.0,60270.25,3
2014,0.7689033999999999,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,425.0,425,300000,30.0,300881.9,3
2014,0.4856232,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,330.0,330,175000,9.5,175670.7,3
2014,0.809372,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,1400.0,1350,240000,50.0,242802.0,3
2014,0.404686,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,900.0,820,200000,60.0,201781.0,3
2014,0.809372,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,1900.0,1860,600000,40.0,603802.0,3
2014,1.214058,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,2000.0,1900,1000000,100.0,1004003.0,3
2014,0.607029,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,1400.0,1370,420000,30.0,422801.5,3
2014,0.202343,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,400.0,400,150000,45.0,150845.5,3
2014,0.404686,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,1000.0,980,300000,20.0,302001.0,3
2014,0.404686,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,800.0,750,300000,50.0,301601.0,3
2014,0.809372,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,1200.0,1140,300000,60.0,302402.0,3
2014,0.404686,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,1000.0,900,300000,100.0,302001.0,3
2014,0.404686,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,1500.0,1300,400000,200.0,403001.0,3
2014,0.607029,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,2000.0,1700,500000,300.0,504001.5,3
2014,0.809372,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,2100.0,1900,700000,200.0,704202.0,3
2014,0.607029,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,1200.0,1050,450000,150.0,452401.5,3
2014,0.809372,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,2000.0,1900,500000,100.0,504002.0,3
2014,0.404686,0.5598156333333333,191448.96296296295,0.5957877222222222,155581.4814814815,0.47610117647058825,20274.206296296295,0.0,0.0,900.0,850,400000,70.0,401821.0,3
